kaesang , video apaan sih ini
rakakiz stream , ha kocak abang
yang di chanel arap juga kocak
cuma buat editing dan suara bagus yang ini
kocak habis , et abang candra jago sekali editnya , blajar dari mana abang ?
kocak habis , et abang candra jago sekali editnya , blajar dari mana abang ?
azoic spanto , kaesang mentang mentang orang penting sok sok penting
robbi firli , asik editannya
bombsemztoplist , kaesang sombong
cyberus vista , apa cuma gue yang ulang ulang mulu
nuz , orang orang ngga penting , cukup di komentar ngga penting ditonton , apalagi ada si bacot sampah tambah bikin nyampah youtube youtube
zenexe , lagu detik 0 06 apa yah ?
tolong dibantu thanks
sophie shabrina , 12 on trending bagh
mr royale14 , video loe yang paling gue suka gara gara ada efek dengan lagu shooting stars bikin jadi kocak
ge wijaya , musik nya apa judulnya ya ?
hamid , editingnya kocak bat anjir
shelina cong , apa bucin itu
dhika doy , bahagia banget video video creator sekarang sering masuk trending
eka maulana p , tren gara gara shooting star
yura sembiring , sebenarnya sudah seru , cuma untuk joke video nya yang dari efek jadi garing
asik itu aja editnya
mending polos
aghnia nafisa , wow
12 di trending
melia pramita , kaesang agak kaku gitu pas bareng 2 youtubers paling boom
dan kebalikanya juga boom
kaku kaku
mirdza fitriadie , yaudah nanti saya subscribe deh mas kaesang ya
biar ngga kalah ame mereka b
raymond pratama s , kan apa yang gue bikin bubar
anis patma , trending
rinita amalia , trending sudah
debora muller , ngga penting
kopi pahit , gilah sumpah deh ada penampakan di 11 02 kalian ada lihat tidak ?
kevin riandito , 80 video
shooting stars stars
drezt yube , openingnya
arvian muzakqi , terusin sama abang reza arap
dessy rahmawati , gue ngakak lihat editanya <haha>
moh zen rustandi , back sound nya apa nih seperti nya seru
desy kusumawati , dat shooting stars memes lol
fajar indah , video dot coooom coooom
kristi shabri , ngakak mulu nih
iverson krysthio , mantap
minecraft_ fers , you tube dibuka lagi kapan ?
cold top , apa sih nama judul lagi tetek teteretet
bukan darude sandstorm sandstorm
allan van music , gue pling suka kalau kalian bertiga kolaborasi
apa lagi expresi abang chandra sama abang reza takut gitu
<haha> nicekolab nicekolab
januar rzky , ini qna atau shooting star memes
mario rinaldi , bocin ?
nofitasa , ha ndeso
ericksuto70 _ , tranding ?
trending haruse
rifqy maulana , menit 11 02 ada yang aneh
miftackul huda , arap loe ikut barong family ya
please seseorang jawab gue dong
icexcube , kangen mereka ber3 akhirnya ada lagi <haha>
re uploader , abang chan nama musicnya apa
aku sering dengar tapi ngga tahu <haha>
semangat terus abang chandraliow
yulia rise ,
yudi syahputra , time time kalau sudah ngeedit total banget
ngakak asli
ganang azis herniwan , 0 06 judulnya apa ya lagunya ?
iam aeriz , 12 di trending
goodjob kakak chandra
dian maya , ngga penting mgabisin kuota
andi maulana , anjay kaesang badanya makin jadi aja yeh
tebel badanya
andreas julian , gue memang ngga penting , tapi subsriber gue penting hanjay hanjay
ryan ananda , ha
irfan kurnia putra , 1 trending wajib
bima anggreyanto , kaesang ngomong dikit dikit nyelekit
rangga 05 , shooting star meme nya lamain aja
fast uploud , apa sih judul lagu pas kakak chan oppening video
tesalonika pratiwi , bucin itu apa sih <haha>
rian dikison , itu judul lagunya apa an ya , keingat wtf ml episode 20 <haha> <haha>
riski ngl , tidak keren sama sekali
tesalonika pratiwi , kok chandra sama rexa oktovian terlalu kedepan kamera
kaesangnya ketutupan sedkit
julia intan rp , sering sering collab bertiga gini ya
bahagia gue lihatnya
christopher reyner , fix , you re fal in love with shooting star star
meghapvvta , kalau sudah bertiga gabosen gabosen gue lihatnya
alfi slow , kebanyakan meme shoting star
dewantoro putra , soundtracknya apa abang
witra foviski , teeet teret tet
syahdan mln , ngakak sama yang nanyain kapan beli microsoft word <haha>
dari twenty , rapstronaut di undang abang rap
ioka purba , tim tim is bsck guys
stevernoz john , widiw badannya kaesang kok tiba tiba jadi berotot gitu ya
mathewgaming , nama lagu yang editannya apa
risnaf 08 , abang lagu editan nya lagu apaan ?
rahila adhien , ke ke ek itu artinya seks ?
flash bomb , tuuuuuutututututuuuuuut tutututuuuuuuuut
busyet sudah
gung praba , apa lagu memenya sih kalau boleh nanya
yudi gilang , abang rap tolong main slendrina dong abang
radif syaghaf , kakak candra lagi itu apaan sih namanya
nouval riandi , jawabannya kurang pintar ya
khasyiratul qutsiyah , <haha> lucu
semarang gaming , musik nya apaan ?
aldy jr , kebanyakan edit
cicitakea cicit , trio kecebong ha
hermas wiguna , ambilnya dikit dikit 1 triliun aja
anjing wkaowkaoaka ngakak ngakak
m akmal yazidy , ndesi
nur aziz , andovi bucin permanen
akbar wirajaya , shooting star , pres like like
rangga khairan , itu backsoundnya apa ya please jawab
fariz hasbi , jangan kasih kendor
biar trending trending
awdi piliang kitranto , di best kalay ada kaesang nih channel <haha>
melania gita , ditonton berkali kali , sampai dibikin offline , ngga bosen , keren
maulana abdi , musiknya shooting star
tapi dalam hati nyanyi lagu selinting ganja
rafli arkansyah , kok ngga sediem waktu itu
gilangerlangga_ , abang bagaimana cara nya jadi youtuber ?
armoni jwnt , judul lagu di awal video apa bantujawab dong <haha>
elsafira hatsune ,
hydra , bakal masuk kompilasi meme shooting stars woakwkw
raja zikri , abang kolaborasi sama pak presiden dong
rahman comedy , gilek lah chandra , editingnya ini totalitas totalitas
widya tri rahayu , editannya ntapz soul
masih mikir , di penjara nge vlog ?
raf ngga , baru sehari sudah no 15 trending
angga juana , tranding
rafi akbar , itu lagu apa se ?
aldo tkj 1 , ask abang kok editanya jadi ngga enak gitu ya ?
apa cuma gue aja yang mikir editanya seperti vngnc
ahda filza ,
nakeiradinka _ , u
muthiya maulida rahmah , jiji <haha> editannya seperti alien alien gitu untung
sayang arap
chaca kim , ha ngakak
arif abdillah , editan apaansi can ?
ngakak bget w nonton nonton
vanti ramadhani , laporin ini aja omongannya jelek jelek
cornelius ryandi , shooting stars
gaming molen , yuhuy akhirnya arab sma chandraliow collabs lagi
aldy noviantama , mantap sudah editannya
ferian fritz , judulnya apa , isinya apa
profmobius , kalau di penjara ngapain ngapain
nge vlog vlog <haha> <haha>
dhimassadi , editan loe oke kali abang
fans 4 brother minecraft indonesia , baru beberapa jam sudah trending ke 15
jayus 11 , kocak editannya
malvin abi , editan yang terbang terbang ngikuti logan paul
muhammad nediaputra , kirain klarifikasi gender
orang ganteng , pasti susah nih editing nya
aghnia fauziah , kaesang
kok sekarang sudah jadi berotot ?
gara gara dibilang om deddy kalau kaesang ngga cocok jadi anak presiden karena kurus ceking ya ?
alle rambu , ha
fernando pratama , 10 49
ada jumpscare jumpscare
fernando pratama , fukin shooting stars
resti eka , tiap ada kaesang pasti
lup you pul pak jokowi looh
arjuna wirya , apa cuma gue yang lihat ketiak kaisang basah langsung agak bagaimana gitu <haha>
hillary ellen , trending mas
petrus suka foto bus , channel apaan ini ?
kok cuma 1 , 2 jt ajah
ngga sekalian 12 jt ajah <haha>
akbar wijaya kusuma , ngakak so hard
maria wida , sukak
darmawan , anjir semuanya dijadiin shooting star , dan editannya ala ala admin hatihatidiinternet <haha> <haha>
inalma , kaesang ganteng sekali
hanif husin , cie ngga datang dinner , ngga penting
apa cuma gue yang sadar ?
<haha> pekaguakok
krisna aditya permana , nah gini dong main bareng , tambahin sama kajo ditambah dovi dong dong
fahrizacreation , internet positif
xcrgaming , yang stuju arap genduttan comment ya
arya brilliant , mampir chanel aku juga kakak
sakata43 , shooting star overdose
dj pak king production , wah disini ada juga si kecebong kaesang , tempat abang reza juga ada si kaesang , serupa juga ini video nya , sma video abang reza
mike wijaya , rap gs lagi rap
jamal fataya , ayok jadiin top trending guys
haydar pahlevi , lagu nya apa sih yang neeeeeeeeeed nedned ned neeeeeeeeeed ?
tolong jawab ya bagi yang tahu ?
vintage boys , abang kenapa baru shooting star
azis muhammad fatwa , shooting star mulu
rina herlena , ngga penting , nyesel banget nonton jadi buang waktu
indah permatas , ngakak sekali pls
muhammad rafif , 10 50 jumpscare
shadowgaming , woy kasih trending ke no 1atau 1atau
3 biar mancap
kevin nathaniel steven , mantab djeewa abang gue suka banget lucu bat abang
ade yoan , hati hati di internet musik efek
stella neysha , akhirnya kolaborasi juga sma abang arap
paling ditunggu
kevin wignyo , no weird genius buabr
ngabei mukgaming , kebanyakan shooting stars awoakwkwkwkw
rumamiiskak , yang tahu backsound mnit ke 00 06
willy liem , jir lagynya ndeso
m robhy dharmawan , youtubers yang bikin video dengan totalitas ngga hanya edit cut buang doang
badai gurun , cie trending nomor 16
ikhsan harna , ngga jelas nih kaesang sok sok an
insinyur , maukah anda melaporkan saya ?
clay , ini dota watafak ?
selamat datang , sound yang sering mucul di video ini judulnya apaan sih kasih tahu dok
s kamal , si arab kok ngga ngomong nya beraih
robin zaidan , shooting star everywhere
wong deso , sering sering aja collab
nya gokil
citra kamalia , ada ya project ya ?
mau ikutan ?
mau ikutan ?
mau ikutan eclipse aja aku aku
fahry adam , editannya kocak , bagus abang abang
i , to samanya shooting stars meme , and i love itu
fe christoffel , ha gue rasa lucu editing nya wkqk
zain fadhilah , i fckn love editing
ridhomahadika , yes siap di endors menteri kemaritiman yo
tuser elektro , anjay
ngevlog dilapas
alex ander , mukanya rezaoltofian lantai cicak
bayu suherman , what the fun
fokus sama shooting star memenya sudah
manusia gaming , baru nonton gaksampe sudah ngakakwkwk , suka sekali kalau sudah ada mereka bertiga bertiga
donut crowded , happy holiday ?
sudah bubar juga awrkoawrkoaw
vini brandonizer , selalu jadi favorit mah tim tim ini
trias dz , 10 49 jumpscare
toudou kirin , shooting starnya nyolot
allya rifani , collab lagi dong
nurhajiati 20 , sering sering koleb dong abang
kalian seru seru
farhan mahendra , editan terbang terbangnya tai bet
fajrddin , shooting star meme
andreas farrel evan , musik diatas judul nya apa ?
ahmad syauqi , bucin apaan si bucin
vrendy , shooting star nya mengingatkan gaben
mr eart , kocak benar sudah ini
daniel kevin , shoting stars meme <haha>
gidion carlos , arap gemuk sekali anjir
susunya cocok ya abang ?
lisna nanda , kenapa sih , youtube mau ditutup ?
kasihan nasib para youtuber , nanti pada kerja apa ?
santri nusantara , tonton linknya tak berkutik
santri ini bungkam kaesang ndeso dulu dulu
annur hidayah , abang awas nanti ada yang baper wkb
sandi ihsan permana , ntap jiwa nih
angga artupas , dipenjara biasanya ngelakuin apa ?
bisanya apa ?
ha , gue baru bangun tidur nich
faradiba putri , keren editannya suka
_ syafa s_ , mengakak
anom parama , yang mau chanelnya di subscribe , subscribe dulu ya chanel saya
and komentar kalok sudah subscribe chanel saya biar saya bisa sub back
chanel anda
terimakasih terimakasih
rizky rakhelna , lol
sri utami , kaesang kelihatan ngomongnya lebih hati hati tidak seperti biasanya
sri utami , kaesang kelihatan ngomongnya lebih hati hati tidak seperti biasanya
friskila desi , nonton ini ngga bosen bosen videonya bagus ha
hansa kamoto , tercyduk
hansa kamoto , tercyduk
hallorov_ _ , kaesang jadi anggota tetap nya time time aja <haha>
elzha abiola apriliani , siap siap trending abang
ryuk motovlog , anjer yang nanya kocak amat kapan beli microsoft wrod
geblek lah
rey , aokawok , editannya mantap mantap
neisya s
gifariani , lagi lagi lagi
aldifa muhariga , maketim maketim
yady poetra , editan macam apa ini
belum nonton sudah ngakak
fairuz nadea , ha kurang panjang durasinya
ilham algifari , trending 17 abang chan
dita apriliani , bucin paan sih ?
wahyu pangestu rimbawan , nanti ada tukang tutorial bikin
cara bikin video seperti chandra liow yang teeet tetet tet tereeeet tereeeet
arie pa
, shooting stars was a dead meme
mochamad chamad , kurang lama woi
jenly fio marito , good
kawai lovers , karena editannya jadi trending
as chanel , editannya ngga penting ,
hosea guntur , kok ngakak ya anjing h
gisela swaragita , cringy habis
m nur holis , kenapa setiap kolaborasi sama kaesang masuk trending
alan walker , lagu shooting star
danang widjanarko , chandra admin hatihatidiinternet yang baru yah ?
christin permata , ada editan shooting star memenya lol
abang jalan jalan , happy holiday holiday
sudah bubar juga juga
joke of the year 2017
selamat kaesang
jovan loe , apa judul lagunya
freako17 , misused memes over 9999
nadia , judul lagunya apa ?
domtube net , edit video nya tingkat dewa
dari pada trending nya bongkar sulap demian
jauh daah
wawan kurniawan , panjat sosialkah ?
medi cubes , apaansi lagu lagu elaah tenet tenet gitu ngakak so hard
namiroh dima a , abang arap kenapa jadi seperti dipsy teletubbies pas di detik detik akhir
imam romli , keren mantab
demianus ondy , siapa yang nonton sambil baca comment
green blue , i liked
berais 032 , ndesoh
maling sial , ha mentang mentang anak presiden sombong amat laporin aja sudah
m iqbal syah pp , kok tommy lim
iskandar agung , teeet tettet teteteeeeet tettet teteteeeeet
m iqbal syah pp , kemnko info
m iqbal syah pp , 20 trending
green blue , si arap muka nya tua amat sekarang
hendrogut , ada yang tahu bucin artinya apa ?
elleta sheldi aranda , ha ini video terngakak yang pernah gue tonton
kaneki ken , yang di detik 0 06 butuh yang versi 10 jamnya
ina mzekoy , <haha> , selalu ngakak kalau lihat kalian ber3 , barengan
aristhiadewi aristhiadewi , bucin apa sih ?
fa id r , anjay ngakak so harrd
keren sumpah , yang setuju like bro bro
titi karmila , anjay ngakak <haha> , btw itu backsound lagunya apa bwang ?
marcos jam , keren editan nya
agung setiawan , da best
master bintang , trending di youtube
rama yusuf , candra sama arab suruh ngomong bahasa jawa kakak kaesang
khafilla prihanta , kok audionya gema ?
salam kecebong
au aufar , wedew tambah mantap editannya
faisal rapstronaut , tim tim auto trending
semoga ngga tercyduck sama orang yang sirik abang
nabila anjani , ngakak
political jokes id , ha masuk penjara ngajak ngajak arap dong
arya pdst , ha kalau lihat shoting stars jadi ketawa mulu
angbrenda , tiati kakak kaesang bilang bilang korupsi korupsi nanti ada yang lapor lagi
bryan billy , cool editing , the best for i think
maya umayah , ke cebong in gaees
kaesang , video apaan sih ini
fathia alisha fauzia , plis ngga kerasa 11 menitaan berasa 1 menitan nontonnya
ngakak habis
mifta gio , yaelah
muhammad hade , editingnya yang bikin ngakak ,
avia gupita , paling ngakak pas bahas bucin <haha>
vanesyah 27 , 1menit rasa 5menit
djoko kun , permisi abang chandra , kaesang , arap
numpang promosi channel
kunjungin ya 1view sama dengan 1 kis for u u
samsudin said , sip
irvanfajar maulana , editanya aja bagus sbenrnya mah kaesang nya b aja
menurut gue
neozea nanda , cara ngedit 0 06 0 11 bagaimana
adam s , yang dislike geng goblok
laviva anshory , dari video ini dari awal sampai akhir yang aku lihat ternyata si arap lebih pendek lol , no hate
siregar , bapak loe nyusain rakyat
singkong murah krena bapak loe import
garam naik 3 kali lipat
rakyat makin susah bro
ini realita dimasyarakat bukan hoax seperti pencitraan bapak loe
vonsogt , wah , topi hazim emje emje
mariono tan , judul trending berikutnya ternyata kaesang anak presiden suka begituan begituan pas di klik videonya kaesang punya kolam kecebong segede kolam renang
ridwan sukma , editing nya , semaunya jir , kaya bukan candra
adiardianp , mantap
emmanuelle gracia , tuh ototnya basah
faadhila amira , ngga berhenti ketawa lihat nih video
ricky look man , nice abang
firda anjar sari , kalau ada kaesangnya , pasti trending <haha>
baymcclooney , ful shooting star
fuck yeah
i love shooting star star
zidane ismael , s h o o t i dan ngga s t a r s
ipank 444444 , ini yang di pakai bacsound lagunya apa sudah
, fokus samaf musiknya , apa sih tih namanya ?
elkana tandi , duh gue pusing
jonuthunt , shooting stars mulu njeng <haha>
dio borneo , ngakak videonya nyeng
xshnd , ajarin edit kaya video ini ea
rifani rifani , uptotrending1
erma sari , keren banget videonya ha
koir herianto , tema background kali ini dimensi di film dokter strang
widya ocky m , bagus banget kakak editannya
sekarang tim tim lebih keren
mas firda , dasar anak kecebong
ahe syalala , editing tingkat dewa
anak hk , kangen dengan mas kaesan dan teman , 2 lucu sekali
aby firmansyah , tim tim
salam kecebong
choi otter youngjae , terserah aku mwuahahahahahahahahah
kurnia sandy , tim tim pasti sering nonton dota wtf wtf
player dota pasti ngerti
aji gilang , editan ter gg
febry riswati , mantap editanya
chiga rising , kaesang mah becanda mulu di tanya , yang nonton ingin jawaban serius
iya kan kan
agnes amelia siwabessy , editannya mantap
ikbal andrean , agak sombong
maysita yolanda , suka banget ngelihat mereka bertiga
febrian purnama , sombong
haris pranata , ini judul musiknya apa ya ?
yassin asco , tim tim tim tim
ghana adhi perdana , <haha> meme shooting stas
tya aia , ndeso sama orang penting penting
savage af
gammods gammods , apa cuma gue yang ngaakak
akbaralveiro07 , ngakak mantaap sudah ini 3orangklocollab
el mf , editan tingkat dewa inimah videonya
riksa muhammad padlul akbar , editannya jelek , bikin pusing lihatnya , just saying saying
bernard , the shooting star gags are
haga dhx , eclips bubar ?
muhamad tri panunggal , para youtube creator yang pantes masuk masuk trending
dimas libri , ngakak jir
andre totti , tim 2 shooting star one
video viral , yang dislike sumbu pendek nih pasti
arsyan thirafi , penting , sampai dilaporin dilaporin
yulia lindariyani , ngakak sama lagu e
ramadhan febratriantoro , tumben abang ngga pakai topi wakainya <haha>
adam wira hadi kusuma , editingnya kalau buat film pendek sepertinya keren nih
meng ayo meng , 446 dislike orang ndeso
fahri yasa , ngeditnya susah ya abang ?
kaesangnya ngga lucu
familysoc , ngga itu kaesang bercanda kok ngga sombong
nouvel anggita , tet teret tereret teret
umarbaelah , shooting star nya awkward
m khairul izwan , ha
ajeng dewi sartika , iyha abang iyha
vntraw , mantap abang
hallo yang mau mampir ke channel aku silakan dan kalau kalian suka jangan lupa subscribe ya ya
rahmat bagus , tapi lebih bagus collab nya arap chandra sama agung hapsah
irza kusuma , reuni eclipse abang <haha>
alditama dj supriyadi , buktiin aja kalau mau jadi diktadok
maikel otniel kembaren , ndeso
dika shinode , videonya jauh lebih bening bening daripada colaps part 1
sekar sari , editan tingkat dewa , boom boom
zenmatholovers , , editannya
kang ebem , editingnya keren banget sih
kenang tris , kocak kaesang <haha>
gheron shaquille , 10 50
yasio nano , keren keren abang tiga nih
rizki hidayat , editan tingkat dewa
epic editor video
sondang nenysimamora , seru dan menghibur
ngga pernah bosan nonton kalian
semangat terus ya
dennya tan , kaesang kok gendut sekrg ?
fitnes nya giat lagi bro , <haha>
keep nge plok
farhan andylan , dari awal sampai akhir ngakak
aditya wicaksono , wah siap siap videonya diedit diedit di potong potong terus disebar di facebook utube insta sama akun akun anonim
zhar borneo , editing level 100
with 3 humble man
gokil gokil
nov mns , baru bangun sung nonton ntaps
rahma sita , kesukaan 3 serangkai
sicknes , ndeso
farchan dwi laksono , kampret shooting star
gb fvc , sakras tinggi kaesang , yang nda tahu tujuan kaesang mah langsung main lapor <haha> <haha>
keisha ramadanti putri , to much shooting star meme
immanuel eduardo , lagu nya apa ya
hidayah official , keren kang bisa kaya kuwe yah videone
prima pamungkas , shooting star malah keingat video wtf mobile legend
farhan erlangga , fix eclips bubar
david chalid , musik nya lucu <haha>
cerita gta , editan nya coba _ bikin ucok ngiri
btw sudah 263 , 700 views hari rabu tgl 26 july 2017 jam 07 58 wib
sekarang sudah berapa ya ?
pasti trending 1 nih
sukses terus bro bro
red crafter , lagu yang di detik 0 06 itu apa ya ?
winda raina sari , mampir ada mas kaesang <haha>
yody putra , viewer ke mana suaranya
gilang kotama , paling suka opening nya , ada shooting star nya <haha> <haha>
victor bong , br nonton awal , pak chandra kebykan nonton dari strange kah ?
<haha> <haha>
daftar reviewtv , kalau ke 3 orang ini sudah kumpul pasti videonya selalu asik
bayu aditya nugraha , ini lebih tepatnya di kasih judul klarifikasi arap dan chandra dari pada kaesang
agha family , jadikan trending tim tim
jimin you got no jam , shooting star nya kocak
abdul malik , kebanyakan efek
jadi kurang fokus sama pembicaraannya
ika rahmawati , mas kaesang
sexy sekali si
enes di santo , anak presiden kok seperti gitu yah ?
steven sianipar , menit 9
7 sih mantap
jekisanjaka , loe lagih h
rafdi hananto , penting sampai di laporin
arham hamshi , abang gila editan loe , ure da real mvp
siti nurjanah , jangan mimpi di undang pak de dong rap , ha ha
el oel hanifah , <haha> ternyata ngga berantem ya ?
sempet was , kirain berantem karena video yang itu
sering collab sama abang arap dong kochan
adhitya tri , itu edit video apa sih yang orang terbang ?
you tsuf , gan itu yang diedit namanya apa ya
my name is blurryface ,
indra adiatma tri wicaksono , apa sih nih editan , ngakak sumpah
taufik rahman , cie editannya nambah ntap abang gue suka karya loe
anargya omar , orgpenting
afan afan , mas kaesang klihatsn cakep
reyhan takarina , c h a dan di r a l i o w c l a w
aisyah calm , editannya banyak nih keep support deh dan sukses selalu tim tim
anak ipa mbul , hastag tim tim ha
lenya noor saomi , ini keluarga tim tim
ayo kita pecahkan
scream synox , trending benaran ini mah
dimas diantoro , nonton spiderman di bali bali <haha> <haha>
firda aswarina , ini jadi trnding
rini irnawati , kakak mau nanya dong , itu lagunya apa ya , plis di bales ya , lagu yang kakak pakai , tolong kasih tahu aku ya plis plis
ahmad ekky , asli keren nih cara edit video nya ya
fetiq official , lucu sumpah ngakak parah
rina p , cie trending
rifqi mozlem , kenapa resolusinya bikin ngiler
zz syauqi , lagi seneng sama shooting star ya abang ?
erchanel 99 , gila bisa sama ngesang <haha> gesang
ren , yeay collab lagi
bobondx bangkai , ha
ngakak men
sabilul muttaqin , savepalestine
faqyh muqoddam , editannya keren chan , keep itu up up
m aufa luqman , shooting star gaes lagunya
nur ahmad maulana , gatot kaca jadi keingat ml
rizal bakrie , yang baju putih jelek sendirinya
motogokil channel , mantap
jadi trending
lia kampus , chandraliow+ rezaoktovian selalu keren
akbar maulana , itu lagu yang prtama di videonya judulnya apa sih
anas adani , editan tingkat di atas rata rata
muqiro , mampir ke cenel aku yu
kali aja suka suka
khalisa dewi , tet tet tet teneet terbang menuju angkasa
vitto bertino ogiant putra , mantap
cello friezcarez , ahahahahhahaja
muhammad fauzi , anak presiden
anak presiden
anak presiden
anak presiden
anak presiden
cara me , iyo lah
age 1 titus , chandra mabuk shooting star
nafisya rizky , ini nih yang bikin indonesia negara yang lebih baik dan maju , bikin video yang kreatif dan tidak mengarah ke hal yang negatif
vinna intifadhah , goks sekali ha
sulthan strong , editing nya pasti shooting star meme
dhita anggara , trandinglagi
optimus prime , saya sangat terhibur , makasih tim tim
trisno supriyantoro , tim tim
v4g , itu benar sonya vegas abang ?
kok bisa gitu , nama video fx nya apaan abang apa cuma dipindahin doang
sama sama prngguna sonya vegas barang kali mampir , baru 1 tahun nge youtube
faiz , menurut gue si tim tim kalah jauh content videonya samaf agung hapsah kalau agung hapsah contenya penuh makna kalau tim 2 one makin gajelas pakai scene melayang ke bumi lah gajelas makin banyak followers makin ngga menarik videonya payah
bahtiar aku , content chandra memang editanya bagus
walau aku and a terasa asik dan epic video
faiz , collab barang si ndeso
ikhya dhika , ternyata chandra admin hatihatidiinternet
mhwcorps , ngedit kurang dari 1 menit dan trending , hanak presiden , mah bebas
stnrl lthfh , kangen tim tim
hady purnama , beli youtube sang
jangan mau kalah sama yang sudah niat mau beli
brama surya , whatsap
aziz ablay , comment ha kali aja ada jodoh gue
williamparera , adsense chandra besar disini
random , bagaimana caranya edit kaya gini , sumpah keren sekali , pintar sekali juga , jenius , otaknya kreatif sekali nih nih
ken su , sumpah editanya bisa bikin orang brantem
bram gitaris , itu ngomongnya benaran apa ngga kakak kesang korupsi 1triliun
muhammad khadafi , banyak yang nyindir editannya yah , padahal itu shooting star meme
gusdedarmaputra , editan nya level dewa
abilsalman algipari , bng tomylim kmna kok jarang nongol
shaqila ferry yos , abang itu lagu apa ?
edoz , adooh kepengen bahan editannya <haha>
appreciate beauty , karena gue baik , gue tidak menskip iklan dan gue menonton sampai 14 detik walaupun videonya berdurasi 15 detik detik
enchantres minx , kok rada kesel ya abang shootingstars muluan
tapi ngga pernah bosen ngelihat cara ngeditnya
edi sukariana , ran snake
gian asse , wew
ada meme shooting starnya segala
ntaps ntaps
go jek , para anjing munafik masih terus menggonggong ,
kafilah tetap berlalu berlalu
bagus wijaya , bucin itu apa an ?
michael sinaga , pertanyaan aku sudah langsung dibilang kaesang
fal cornering , swipe up
jarvis ironman , nih soundtrack nya apa namanya
lucu sih
doni unlimit , apa cuma gue yang ngga tahu ada apa dengan eclips ?
antonius tri , sudah mainstream kalau collab sama kaesang
kalau berani collab sama kakaknya gibran , sejam syuting aku a , paling jawabnya biasa aja terus
santhi dewantari , mas kaesang ototnya jadi ya
aditya irfan , anjir gue ngakak mulu
andiks 0612 , <haha>
editing nya <haha>
itsna najatun nafiah , wow
eka eka , garing banget kaesang
prayogi , sumpah ngelihat muka reza pas lagi pasrah ngingatin aku sama kartun larva yang warna merah <haha>
yuhu yuhu , terus terus collap lah kalian zeru
dejan restu , abang sejak kapan loe main dota
kok niru niru efek yang akun dota wtf <haha>
but its so funnya bruh , go a head liow
firman permadi , ngga kerasa kalau nonton video abang chandra 11 menit ya ?
rahmima akbar , i love when they re together
handsome someone , chandra liow always makes good video
kasih tanda sama like vang
angga hasnal akhir , yang tahu judul music instrument di video reply pls
ilham wahyudi , bucin apa ya
borntobos gitu , lagu nya apa namanya
riski saputra , mau tanya itu teknik editing nya apa namanya yang kaesang pakai sayap dan terbang
anita higgs , ngga jelas
joelhukadz , oh beiby
the_ dam_ dam_ bom gaming , 31trending
the_ dam_ dam_ bom gaming , 31 trending
tedi sunjaya , lol
edi marwoto , akhirnya channel ini jadi seperti dank memes
huda bolo , tai lah h
baru kali ini anak presiden koar koar gda wibawanya wibawanya
afif yulistian , editannya t_ t
marco id , waw gaya editan yang baru
yupat tapuy , kebanyakan edit kakak
rag testify , ndeso
handi wiratama , how to trending topic feat kaesang and rezaarap mestinya ksh judul itu abang biar cepet ngalahin video trending topicnya kaesang <haha>
al muhammad , chandra ditambah kaesang ditambah arap sama dengan auto trending
yemima talita , makan abang
indah alydrus , trio topi
dwi apriyanto , kaesang jangan diundang yah yah
arap diundang lah amplop paling gede itu yah dari kamu kamu
onerzo , anjir shooting starnya
rizzati vlog , anjir editan loe dewa can
sukses terus
lumban silalahi , reza bakil
kyla bandarsport , wah ada promo 50 deposit
ayo cepat bergabung bersama bandarsport
harsa id , wah
muhammad iqbal , editannya membosankan terlalu lebay
kahfindo arya , awas , tukang nulis berita ngasal lagi nyari bahan dari video ini
krm389 alkrmsptra , like back subcribe ya
achil suy , jadi loe ngga keramas hari ini
tri heni kartika , ini video yang paling di tunggu
abang candra sama abang arap kolaborasi lagi
yaaaiiy ha
aurelia cindy , kok ngakak samaf editannya si
alfred wijaya , kok chandra , copyrightnya masi
redstone gaming , auto trending
hana pradifta , gue nonton ini berkali berkali dan tetep ngakak chandra sama arap kalau sudah nyatu pecah bikin ngakak
kigen yunus , clickbait anjir
pa ul , makin asik editanya , makin akrab aja sama kaesan
kigen yunus , barusan gue lihat vlog qna loe ngga ada closingnya
mattzovine , fak shooting stars mulu
anak sipasan , clickbait anjing
sarah marisi , editan nya bikin ngakak
andi erlangga , editannya bikin ngakak <haha> keren
adamu husein , bloopersnya dong
abdullah harpa aji pratama , a e s t h e t i c
pey channel , editannya keyen
aldi marsono , reja arap oktovian tetap ganteng di manapun
is hack , cuma sebentar doang sepertinya seru banget
kita nonton aja seru
kalau live streaming no edit pasti makin seru , jadi kita tahu bagaimana keseruannya
dennya suarima , shooting star attack <haha>
kiki 23 , 29 trending ow
saskia maharani , aduh itu background musicnya sama yang terbang terbang ketemu dimana mana wey ha ngakak
reza dzulfikar , wtf dota
fenthy asmeliana , abang editannya warrbiaza
cabdans , soundnya apa
rury carlolina , anjer openingnya kali ini gue suka parah editan nya
canta dan , kaesang savage
diah astri , kaya insta ruwet
filbert yohanes , lagunya itu lho ngakak shooting stars
ajwar harris , mangap gue
kurt fuckingbain , holy shit
fajar muhammad , baru nemu shooting stars si chandra seperti nya ha
axel patongloan , ayo kasih trending
iqbal setyo nugroho , gue belajar edit shooting stars meme susahnya
crustier cargo cargo , kebanyakan editan kakak chan
t late , name song
james loppies , chandraliow sekarang sudah jadi 9gagger ya ?
si iky , petani kecebong
tiar oktavian , ketahuan arap belibers
