kaesang , video apaan sih ini
chandra junior , lagu apa ini backsoundnya ?
penyanyi sama judul lagunya please buat yang tahu , thx thx
bacang tempur , itu apaan sih efek aslinya dari video apa yah , gue sering lihat di dota wtf wtf
fg tube , lagu nya apa namanya
aldanur ramdaniah , filem yang bagus untuk anak bangsa boy
bella florensia e
nanyan , ngakak <haha>
mira savira , ingin tanya , bucin itu apa ya ?
ha maafin ngga tahu soalnya
gusti handi , judul lagu yang buat cut scene itu apa jdulnya
valencia katlea simanjuntak , editnya jing ha
dod a , apa ini mz
ngga ngerti sumpah mz
harus em , kakak chan
bikin video cara menghadapi bullyin ha
jiban shafarji , yang tahu judul lagu di depan video detik ke 7 10 apa ya ?
ada yang tahu ngga ?
osul bopers , judul lagunya apaan si ini ?
nur jannah , bikin reaction videonya deddy corbuzier dong kakak
yang dance
like yang setuju guuyys guuyys
hadi j , sering sering dong mas ginih ngakak nih terhibur
abraham arif , ini di menit 0
06 apa sih judul lagunya
hasfi had yan , gajelas
elia ajjah , itu judul lagunya apa sih
junus sukmara , nama lagu nya apa
azzura 1707 , selama hidup di indonesia baru ini kali gue seneng samaf anaknya presiden gue ha5 kalau kmrn kmrn jengkel sama arogansi anak anak presiden
kamu persis sekali seperti bapakmu sang
simple tapi jeplak sekali dan berasa kalian orang lempeng hatinya
bukan orang orang munafik tampilan kelihatan lempeng tapi hati lintah
vid go , gemes banget sih sama arap
yusril izza sukwasanah , shootingstars
sopyan karounx , yang tengah kaya satpam
okta listiyana , editannya bikin ngakak
desi kurniawati , ngakak
ben 10 , edit doang ngga keren isinya ndg ada
rosi bilang , love arap
love kaesang
love chandra
love tim tim
al jumaidi , ha
jadi malas nonton nya
dasar ndeso ndeso
romanzz3936 , info ya abang nih musik
judul ya pa ya butuh info ya terimakasih
haamim rizaldhi , itu sudah <haha> , konten yang bagus chan , maju lah youtubers indonesia , btw gue juga nge youtube , konten yang sama dengan chandraliow , saya harap kalian semua juga dukung kita sebagai youtubers indonesia indonesia
giovanni florencia , ngakak
aziz julhijjah , editan tingkat dewa
yang dislike ndeso ndeso
alif firdaus , <haha> lagu yang sering dipake wtf dota nih judulnya apasih
rief teknologu , keren euy video nya
ryu , nih editan viral shooting star nape muncul mulu
ryu , dari nongkrong nge game diwarnet , bisa ke bangkok , collab sama yellowclaw
ngakak so hard hard
arie lendra putra , asli ini video , editnyannya annoying
saiful uyun , malu malu in amat sih seorang anak presiden kok kelakuanua kaya gtuh gtuh
judgetv mobl , ada yang atau judul lagu pas bagian editingnya ?
enya yim , lanjutkan berkreasi mas kaesang , jangan takut di kritik
devin winalda , banyak shoting star nya
fikram lubah , ha good like
garry herrera , dimana lucunya
dan p , itu lagu apa sih
nienya lover , arap , ngomong nya cedal cedal
irvan sniper , subs saya gan
yoghi thre ya , itu kakeknya yanglex ya ?
yuly slalusetia1 , ramai ya
tiwi ankalv , seneng banget lihat kalian ber3 collab
selalu bikin ngakak
akhmad zainury , ada yang tahu judulnya
va farida , apa cuma gue yang ngga tahu apa itu bucin ?
echa kiut , bucin apaan sih ?
johto , eclipse itu apa ya ?
tempat les ?
lightning madcon , judul lagunya apa ya , lagi nyarik tapi ngga dapat dapat
aditya rahadian , ini apaan sih <haha>
setiap shooting stars nya keluar ngakak gue badzingahnns badzingahnns
indira maha f , video terseru
jimmy manullang channel televisi , edit mantap
luthfi maulana , anjir greget di penjara nge vlog
ervan agustian , sumpah editan super god
robben 19 , kok anak presiden bukannya mikirin rakyatnya malah yang di pikirin dia sendiri kok aneh kocak sudah kaesang
